,da,BEN,CO,EBE,MXY,NMHC,NO_2,NOx,OXY,O_3,PM10,PM25,PXY,SO_2,TCH,TOL,NO,CH4
66,2001-03-08,208.02999952435493,197.68000029027462,127.38999962806702,156.5000002682209,12829.999964684248,13125.84004855156,24516.19002556801,81.82999977469444,10502.890044212341,4271.18999505043,0.0,74.45000037550926,3791.3500084877014,100.910001039505,598739.9976849556,0.0,0.0
67,2001-03-09,231.72999995946884,197.5799995213747,145.5000005364418,184.08999960124493,13289.999928325415,11674.999989628792,23486.5400018692,97.61000111699104,8349.160017490387,4605.0000067949295,0.0,87.95999956130981,3607.5699973106384,100.37000000476837,673920.0033247471,0.0,0.0
68,2001-03-10,120.96000017225742,165.89999943971634,88.29000008106232,182.15000167489052,12210.000023245811,7907.490002632141,16810.440012931824,96.31000047922134,5745.910002708435,3071.2399995326996,0.0,88.67000049352646,3308.3600068092346,98.6099990606308,424479.9984693527,0.0,0.0
69,2001-03-11,109.40000128746033,201.63999895751476,83.28000020980835,226.52999925613403,17269.999977201223,7990.780000209808,19740.87993621826,112.02999892830849,4743.679989337921,3232.359997034073,0.0,97.63000030815601,3860.380005836487,104.34999930858612,447279.9990773201,0.0,0.0
70,2001-03-12,101.55999964475632,296.91999992728233,71.08000004291534,232.84999907016754,18289.999958127737,12239.270010948181,35472.64995765686,110.96000054478645,4545.210014343262,5318.050005674362,0.0,92.71000039577484,4995.609990596771,121.80000042915344,502219.9990749359,0.0,0.0
71,2001-03-13,119.70000125467777,213.3000003490597,82.16999977827072,109.00000065565109,10049.999991431832,14317.67997443676,25375.430036067963,61.37000033259392,10926.42999625206,4342.72999727726,0.0,57.370000287890434,4449.710012435913,97.20000112056732,350690.00059366226,0.0,0.0
72,2001-03-14,314.50000013411045,353.20999959111214,210.6399998664856,340.75000286102295,23020.00008150935,21698.989951133728,49098.640005111694,153.67999947071075,5411.909997582436,9361.539981365204,0.0,127.23999965190887,6978.110006809235,115.33000075817108,1227529.9997329712,0.0,0.0
73,2001-03-15,336.650000885129,336.3600000143051,201.12000024318695,331.81999856233597,21590.000048279762,19138.729969978333,45244.54013109207,153.98000037670135,7080.829963445663,9545.119979381561,0.0,124.29999995231628,6868.310004234314,117.03999996185303,1248859.9989414215,0.0,0.0
74,2001-03-16,280.98000103235245,240.62999875843525,188.0900000333786,335.47000193595886,19290.000073611736,15930.04004907608,31604.1300907135,146.480000436306,8229.279991149902,7583.020021438599,0.0,119.83999848365784,4771.629999160767,115.77000069618225,962490.0012016296,0.0,0.0
75,2001-03-17,156.50999927520752,191.04999936372042,105.25999999046326,166.86000023782253,12579.999931156635,12012.64998459816,20077.36995124817,89.20999950170517,12407.670026302338,3571.880001306534,0.0,79.87000019848347,3704.250011920929,99.75000071525574,500730.0018966198,0.0,0.0
76,2001-03-18,94.76999935507774,181.79999966919422,65.68999981880188,181.53000155091286,12879.999965429306,11391.4299980402,19569.190011024475,93.44999995827675,10408.349997520447,4140.990003585815,0.0,80.41000065207481,3624.979992866516,102.00000071525574,360170.00022530556,0.0,0.0
77,2001-03-19,172.42000079154968,225.38000002875924,106.84000074863434,154.40000009536743,11449.9999769032,12577.480022192001,26701.230065345764,78.58000016212463,6637.0000030994415,5676.769995689392,0.0,68.32000026106834,4023.879998445511,87.91000008583069,530270.0027823448,0.0,0.0
78,2001-03-20,234.36999978125095,219.38999937474728,162.98000037670135,240.33999845385551,8290.000028908253,10786.070007324219,27436.420001983643,105.67999950051308,4660.409988164902,7289.080015182495,0.0,87.05000051856041,4868.25998878479,76.73999965190887,911620.0070977211,0.0,0.0
79,2001-03-21,239.82000318169594,170.83000004291534,173.26000100374222,257.74999979138374,6669.999998062849,9768.990014314651,20555.279947280884,120.52000007033348,6743.0100021362305,5551.020004987717,0.0,102.97000010311604,3929.0299968719482,65.57000064849854,834709.9967002869,0.0,0.0
80,2001-03-22,296.71000023186207,259.6899998001754,218.45999884605408,300.4400027394295,9379.999976605177,9668.360009431839,29113.280009269714,133.02999958395958,5722.680015087128,7123.490015268326,0.0,115.4799993634224,4682.460000991821,67.39999973773956,1055350.0068187714,0.0,0.0
81,2001-03-23,390.7200005799532,378.9000000357628,266.6500005722046,408.640000641346,12210.00000089407,16194.630003452301,47764.46983337402,175.87000077962875,4384.790001273155,16548.030022621155,0.0,145.11999997496605,6908.169999599457,74.44000005722046,1547429.9945831299,0.0,0.0
82,2001-03-24,200.0799989104271,156.21999952197075,140.06000089645386,244.97000196576118,6619.99998241663,10310.650039076805,17421.04995560646,114.33000022172928,11536.22997534275,8359.460024118423,0.0,97.25999937951565,3832.079999446869,67.46999967098236,734669.9999570847,0.0,0.0
